postUrl,profileUrl,pubDate,headline,description,username
https://www.instagram.com/p/C1Kdc4mRQUv/,https://www.instagram.com/ubc_arts,2023-12-22T17:20:19.000Z,,"Happy holidays, Faculty of Arts! Enjoy your well-deserved break after finishing Winter Term 1! ????",ubc_arts
https://www.instagram.com/p/C02JlEEtT_i/,https://www.instagram.com/ubc_arts,2023-12-14T20:01:06.000Z,,"???? Dive into the captivating world of Fish Tales! ?? ? ? Discover how a collaboration between @ubcinstrcc and the @gogcannery is bridging cultures & communities. From class project to a vibrant exhibit, UBC students & Cannery staff teamed up to celebrate diverse voices sharing tales about seafood and customs.? ? ""It has been very gratifying to see Fish Tales evolve from a class project in 2021, to now an exhibit at the Cannery. Our team at UBC values the ethic of student-centered, student-led teaching and learning, and this project is a great example of how something small can into into something impactful for the community.” - Dr. Henry Yu, Professor, @ubc_history? ? Learn more about this community-university partnership at our link in bio!",ubc_arts
https://www.instagram.com/p/C0j6P5us-dN/,https://www.instagram.com/ubc_arts,2023-12-07T18:01:19.000Z,,Ready to make a real impact on global issues next year? ??? ? ? Explore how you can bridge your learning with real-world solutions through the Office of Regional and International Community Engagement (@ubc_orice) programs in Term 2! ? ? Click the link in our bio for an alum's firsthand experience and three exciting opportunities!,ubc_arts
https://www.instagram.com/p/C0e3lCbMxvo/,https://www.instagram.com/ubc_arts,2023-12-05T19:01:11.000Z,,"Ever wished to explore subjects beyond the usual UBC offerings while connecting with fellow curious minds? Student-directed seminars are for you!? ? Get ready for an exciting term ahead, by diving into the Psychology of Modern Dating or the Philosophy of Hip-Hop and Rap, and more!? ? Discover the 8 seminars that will be led by Arts students in Winter Term 2. Click the link in our bio to explore, and sign up for a whole new learning experience!",ubc_arts
https://www.instagram.com/p/Cz9ScGcsgHA/,https://www.instagram.com/ubc_arts,2023-11-22T18:02:13.000Z,,"???? Congratulations, Fall Class of 2023! ????? ? We are so proud of you and all of your accomplishments and achievements during your time at UBC!? ? As new Arts alumni, your UBC journey doesn't end here. Click the link in our bio to stay connected through the UBC alumni Network, explore opportunities, and access resources tailored to support your career growth and personal development.",ubc_arts
https://www.instagram.com/p/CzsGiGUowls/,https://www.instagram.com/ubc_arts,2023-11-16T01:50:19.000Z,,"Are you considering grad school, or wondering if it might be the right path for you? Find out what grad school is like directly from eight current Arts Graduate students. ? ? Learn about funding opportunities, and get tips on finding your community and thesis topics you're passionate about. ? ? Get the inside scoop, and peek into the graduate student experience at the link in our bio! ? ?",ubc_arts
https://www.instagram.com/p/CzZWmb9Nh2k/,https://www.instagram.com/ubc_arts,2023-11-08T19:05:16.000Z,,"Are you ready for an exciting summer filled with exploration, learning, and adventure? ? ? There are 20 @goglobalubc summer 2024 seminars available for Arts students! Whether you've dreamt of excavating ancient treasures in Romania, exploring the dynamic culture of Berlin, or delving into the history of Asian migration, there's a seminar that will ignite your passion and expand your horizons.? ? Click the link in our bio to discover how you can Go Global! ???? ? ? Apply by December 5!",ubc_arts
https://www.instagram.com/p/C2BFCyNySlI/,https://www.instagram.com/ubc_asia,2024-01-12T22:24:04.000Z,,"Join us for the 2023-24 John Howes Lecture in Japanese Studies on Friday, February 2! Our guest speaker Andrew Horvat (a former student of the lecture’s namesake himself!) will share John Howes’ career and legacy as a prism through which to view changes in Japanese studies and those who study Japan ?? Learn more and RSVP from the link in our bio! ??",ubc_asia
https://www.instagram.com/p/C1LOxsyP7Lx/,https://www.instagram.com/ubc_asia,2023-12-23T00:30:41.000Z,,"Wishing everyone a warm, restful, and enjoyable holiday season ?? Thank you all for your continued support of the Department of Asian Studies, and we are excited to see you all again in the new year! ?? #ubcasia",ubc_asia
https://www.instagram.com/p/C1IBFxbPiym/,https://www.instagram.com/ubc_asia,2023-12-21T18:32:49.000Z,,"?? Recently, the Persian Literature Reading Club hosted two sessions on Suppression of Discourses (Oct. 28) and War, the Silence of Narratives and the Poetic Language (Dec. 2) which brought up conversations and perspectives among speakers, hosts, and attendees. We would like to thank everyone who was able to join events by @ubc_plrc this year and can’t wait to see you all again soon!   #ubcasia",ubc_asia
